time,dist
0,512.5
41,514.9
82,1587.3
123,1593
164,2220.6
205,2228
246,3278.5
286.9,3290.5
327.9,3580.2
368.9,3596.4
409.9,1856.7
450.9,1864.4
491.9,855.7
532.9,861.1
573.9,303.5
614.9,303.4
655.9,45.7
696.9,42.2
737.9,179.9
778.8,186
819.8,1255.7
860.8,1257.7
901.8,880.5
942.8,879.9
983.8,1594.4
1024.8,1602.6
1065.8,550
1106.8,552.9
1147.8,39.1
1188.8,40.6
1229.8,204.4
1270.8,203.4
1311.7,257.5
1352.7,260.3
1393.7,259.7
1434.7,257.8
1475.7,1339.1
1516.7,1344.4
1557.7,2045.9
1598.7,2053.9
1639.7,3115
1680.7,3126.3
1721.7,2408
1762.7,2418.5
1803.7,2414.3
1844.6,2422.9
1885.6,1732.8
1926.6,1741.2
1967.6,1759.8
2008.6,1771
2049.6,1855.1
2090.6,1863.8
2131.6,2178.4
2172.6,2181.8
2213.6,1583.6
2254.6,1588.9
2295.6,2148.1
2336.5,2163.8
2377.5,294.6
2418.5,290.7
2459.5,234.7
2500.5,233.1
2541.5,107.3
2582.5,108.5
2623.5,40
2664.5,38.4
2705.5,261.4
2746.5,262.9
2787.5,585.1
2828.5,586.7
2869.4,471.4
2910.4,473.9
2951.4,1747.6
2992.4,1750
3033.4,1604.4
3074.4,1610.6
3115.4,3563.5
3156.4,3577
3197.4,1154.3
3238.4,1155.2
3279.4,812.4
3320.4,817.9
3361.3,115.6
3402.3,114.5
3443.3,111.4
3484.3,108
3525.3,158
3566.3,157.2
3607.3,55.9
3648.3,59.5
3689.3,151.3
3730.3,154.1
3771.3,362.6
3812.3,357.7
3853.3,52.3
3894.2,62.9
3935.2,136
3976.2,131.3
4017.2,262.2
4058.2,263.6
4099.2,1369.9
4140.2,1372
4181.2,2884.1
4222.2,2889.3
4263.2,3658.9
4304.2,3676.6
4345.2,5615
4386.1,5634.6
4427.1,3489.1
4468.1,3497.5
4509.1,5660.8
4550.1,5684.6
4591.1,4368.9
4632.1,4382.8
4673.1,2158.8
4714.1,2167.2
4755.1,1065.5
4796.1,1069.7
4837.1,79.6
4878.1,77.9
4919,69
4960,72.4
5001,268.4
5042,267.3
5083,130
5124,127.1
5165,200.4
5206,197.8
5247,122.9
5288,122.5
5329,194.8
5370,198.9
5411,182.5
5451.9,182.4
5492.9,1800.2
5533.9,1807.9
5574.9,2056.6
5615.9,2073.5
5656.9,2131.1
5697.9,2147.3
5738.9,1742.8
5779.9,1755.1
5820.9,1577.9
5861.9,1588.4
5902.9,873.9
5943.8,880.6
5984.8,512.8
6025.8,518.4
6066.8,79.2
6107.8,85.8
6148.8,270.3
6189.8,273.6
6230.8,31.7
6271.8,31.5
6312.8,441
6353.8,447.4
6394.8,3217.6
6435.8,3230.9
6476.7,4380
6517.7,4397
6558.7,4764.4
6599.7,4782
6640.7,5301.1
6681.7,5323.1
6722.7,4059.2
6763.7,4083.7
6804.7,4162.2
6845.7,4183.1
6886.7,2365.6
6927.7,2381.1
6968.6,2098.7
7009.6,2107
7050.6,1334.8
7091.6,1344.4
7132.6,1424.9
7173.6,1439.4
7214.6,1492.5
7255.6,1496.2
7296.6,1286.5
7337.6,1288.7
7378.6,779.9
7419.6,787.2
7460.6,135.2
7501.5,132.8
7542.5,95.8
7583.5,97.8
7624.5,64.7
7665.5,67
7706.5,13.8
7747.5,12.2
7788.5,230.9
7829.5,229.8
7870.5,247
7911.5,245
7952.5,110.8
7993.4,109.4
8034.4,149.4
8075.4,148.8
8116.4,210.1
8157.4,209.6
8198.4,339.9
8239.4,339.4
8280.4,147.7
8321.4,147
8362.4,291.7
8403.4,290.9
8444.4,342.4
8485.4,341.8
8526.3,888.7
8567.3,895
8608.3,2533.4
8649.3,2546
8690.3,4492.3
8731.3,4500.3
8772.3,4727.1
8813.3,4746.6
8854.3,4771.3
8895.3,4793
8936.3,2701.2
8977.3,2719.8
9018.3,1635.3
9059.2,1644.9
9100.2,1578.9
9141.2,1586.4
9182.2,1544.8
9223.2,1549.3
9264.2,1676.4
9305.2,1686.7
9346.2,1526.1
9387.2,1534.3
9428.2,1878.3
9469.2,1896.1
9510.2,1918.8
9551.1,1938.1
9592.1,2123.7
9633.1,2139.8
9674.1,1221.3
9715.1,1232.4
9756.1,733.1
9797.1,736.1
9838.1,983
9879.1,988.2
9920.1,397.3
9961.1,396.5
10002.1,681.6
10043.1,685.9
10084,243.1
10125,248
10166,47.7
10207,46.7
10248,30
10289,30.8
10330,151.2
10371,150.5
10412,284.8
10453,284
10494,211.4
10535,210.7
10575.9,1171.5
10616.9,1174.2
10657.9,2419.1
10698.9,2431.7
10739.9,2810.8
10780.9,2820.5
10821.9,2778.7
10862.9,2789.3
10903.9,2884.2
10944.9,2893.9
10985.9,1818.9
11026.9,1826
11067.9,1539.5
11108.8,1547.3
11149.8,629.2
11190.8,635.4
11231.8,345.2
11272.8,350.9
11313.8,308.6
11354.8,308.4
11395.8,196.1
11436.8,202.5
11477.8,432.1
11518.8,435.6
11559.8,631
11600.8,635.3
11641.7,2198.8
11682.7,2209.3
11723.7,1881.3
11764.7,1885.9
11805.7,1543.2
11846.7,1552.4
11887.7,2106.1
11928.7,2120
11969.7,691.5
12010.7,698.1
12051.7,1281.8
12092.7,1289.9
12133.6,893.8
12174.6,897.5
12215.6,447.8
12256.6,453
12297.6,287.9
12338.6,289.8
12379.6,475.7
12420.6,480.2
12461.6,755.7
12502.6,752
12543.6,672
12584.6,680.7
12625.6,323.4
12666.5,326.4
12707.5,690.5
12748.5,691
12789.5,216.5
12830.5,218.1
12871.5,340.2
12912.5,341.1
12953.5,351.7
12994.5,354.3
13035.5,122.1
13076.5,123.2
13117.5,196.1
13158.4,198.8
13199.4,116.1
13240.4,117
13281.4,2290.6
13322.4,2299.2
13363.4,4381.4
13404.4,4403.9
13445.4,6687.8
13486.4,6724.7
13527.4,6102.4
13568.4,6136.3
13609.4,5873.8
13650.4,5913.1
13691.3,8273.6
13732.3,8319.8
13773.3,5063.5
13814.3,5089.3
13855.3,2300.9
13896.3,2315.2
13937.3,2162.6
13978.3,2172.6
14019.3,793.6
14060.3,801.4
14101.3,556
14142.3,558.7
14183.2,205
14224.2,207
14265.2,164
14306.2,162.7
14347.2,25.4
14388.2,24.4
14429.2,33.2
14470.2,27.7
14511.2,54
14552.2,53
14593.2,181.6
14634.2,189.6
14675.2,77.9
14716.1,77.6
14757.1,59.5
14798.1,59.3
14839.1,160.2
14880.1,159.5
14921.1,27.4
14962.1,25.2
15003.1,83.3
15044.1,85.7
15085.1,56.2
15126.1,55.5
15167.1,277.4
15208.1,275.8
15249,78.7
15290,72.6
15331,69.2
15372,75.3
15413,26.7
15454,27.9
15495,1076.7
15536,1083.6
15577,1812.4
15618,1825.5
15659,3174
15700,3190.2
15740.9,2795.5
15781.9,2812.6
15822.9,2292.8
15863.9,2306.2
15904.9,2485.7
15945.9,2499.1
15986.9,2466.2
16027.9,2477
16068.9,1300.4
16109.9,1301.3
16150.9,335.9
16191.9,337.4
16232.9,726.9
16273.8,918.8
16314.8,228.1
16355.8,233.2
16396.8,181.6
16437.8,184.7
16478.8,191.1
16519.8,188
16560.8,124
16601.8,126.7
16642.8,540.8
16683.8,542.2
16724.8,812.9
16765.7,819.6
16806.7,460.4
16847.7,466.3
16888.7,163.8
16929.7,166.5
16970.7,239.1
17011.7,240.8
17052.7,324.6
17093.7,327
17134.7,358.8
17175.7,363.4
17216.7,251.7
17257.7,254.3
17298.6,228.1
17339.6,225.6
17380.6,342.4
17421.6,346.6
17462.6,828
17503.6,830.7
17544.6,99.8
17585.6,95.8
17626.6,983.2
17667.6,991.1
17708.6,355.9
17749.6,360.8
17790.5,23.5
17831.5,23.7
17872.5,66.8
17913.5,69.5
17954.5,546.8
17995.5,549.5
18036.5,367.1
18077.5,371.8
18118.5,344.6
18159.5,345.9
18200.5,243.2
18241.5,242.1
18282.5,44.1
18323.4,44.5
18364.4,321.4
18405.4,325.5
