time,dist
0,561.4
0.6,560.7
1.2,1472.1
1.7,1479.8
2.3,1549.9
2.9,1554.7
3.5,1829
4,1833.4
4.6,2025.8
5.2,2038.1
5.8,1883
6.3,1891.3
6.9,2488.6
7.5,2495.2
8.1,5255
8.6,5276.1
9.2,5584.7
9.8,5604.2
10.4,4048.1
10.9,4066.6
11.5,2926.8
12.1,2941.9
12.7,3811.9
13.3,3830.4
13.8,2532.7
14.4,2549.9
15,4364.1
15.6,4380.6
16.1,2966.9
16.7,2992
17.3,4684.1
17.9,4741.4
18.4,3417.7
19,3441.8
19.6,1963.6
20.2,1974.5
20.7,2657.4
21.3,2665.1
21.9,2185.3
22.5,2190.1
23,1421
23.6,1430.4
24.2,1216
24.8,1227.6
25.3,631
25.9,640.2
26.5,148.2
27.1,141.6
27.7,72.5
28.2,69.1
28.8,43.6
29.4,42.9
30,168
30.5,171.3
31.1,220.8
31.7,222.7
32.3,175.4
32.8,177
33.4,447.9
34,451.5
34.6,430.2
35.1,430.8
35.7,640
36.3,641.6
36.9,298.8
37.4,302
38,57.6
38.6,57.7
39.2,37.5
39.8,41.5
40.3,3225.2
40.9,3238.6
41.5,2513.5
42.1,2531.8
42.6,2250.2
43.2,2273.9
43.8,2227.3
44.4,2244.3
44.9,2367
45.5,2386.4
46.1,1090.7
46.7,1096.7
47.2,819.4
47.8,826.2
48.4,1682.4
49,1692.3
49.5,1131.5
50.1,1134.4
50.7,1438.5
51.3,1442
51.9,1117.1
52.4,1118.9
53,967.2
53.6,974.3
54.2,500.7
54.7,503.2
55.3,477.9
55.9,483
56.5,173.1
57,174.3
57.6,625.2
58.2,630.1
58.8,139.5
59.3,136.4
59.9,347
60.5,342.6
61.1,136.9
61.6,129
62.2,199.1
62.8,197.8
63.4,283.8
64,279.8
64.5,266.6
65.1,270.1
65.7,1666.2
66.3,1684
66.8,1623.7
67.4,1637.5
68,2338.1
68.6,2357.5
69.1,1262.8
69.7,1276.6
70.3,1029.9
70.9,1040.4
71.4,796.1
72,798.5
72.6,1085.4
73.2,1095.4
73.7,608
74.3,613.8
74.9,821.1
75.5,829.3
76,658.8
76.6,663.1
77.2,35.9
77.8,39.6
78.4,387
78.9,393
79.5,117.8
80.1,115.6
80.7,112.2
81.2,115.2
81.8,375.8
82.4,381.8
83,208.8
83.5,211.6
84.1,237.6
84.7,239.7
85.3,198.8
85.8,196.7
86.4,152.9
