time,dist
0,10605.4
79.6,10623.7
159.2,10108.2
238.8,10128.2
318.3,7334.8
397.9,7344.9
477.5,8536.6
557.1,8528
636.7,7779.5
716.3,7785.8
795.8,9010.8
875.4,9012.6
955,10250.2
1034.6,10258.7
1114.2,9989.8
1193.8,9995.4
1273.4,9022.2
1352.9,9029.8
1432.5,10477.3
1512.1,10481
1591.7,7738.3
1671.3,7747.7
1750.9,8214.1
1830.4,8226.6
1910,9312
1989.6,9323.9
2069.2,8023.4
2148.8,8034.4
2228.4,9275.4
2307.9,9275.7
2387.5,9303.3
2467.1,9301.9
2546.7,9313.6
2626.3,9318.2
2705.9,9850.5
2785.5,9858.1
2865,8699.1
2944.6,8705.6
3024.2,8567.3
3103.8,8585.3
3183.4,9642.4
3263,9642.6
3342.5,8420.7
3422.1,8422.7
3501.7,7527.3
3581.3,7548
3660.9,9313
3740.5,9317.8
3820.1,8915.7
3899.6,8921.4
3979.2,9480.6
4058.8,9488
4138.4,10007.9
4218,10014.2
4297.6,8921.2
4377.1,8927.3
4456.7,8397.1
4536.3,8405.3
4615.9,7938.9
4695.5,7947.2
4775.1,7671.5
4854.7,7679.3
4934.2,9418.4
5013.8,9418.4
5093.4,8958.6
5173,8959
5252.6,8431.4
5332.2,8445.3
5411.7,10390.9
5491.3,10401.4
5570.9,8997.2
5650.5,9002.2
5730.1,9577.8
5809.7,9584.9
5889.2,9695
5968.8,9700.1
6048.4,7833.2
6128,7843.1
6207.6,7591.1
6287.2,7579.4
6366.8,7358.8
6446.3,7364.1
6525.9,7422.5
6605.5,7427.7
6685.1,9088.6
6764.7,9099.2
6844.3,9474.3
6923.8,9474.8
7003.4,8078.1
7083,8084.8
7162.6,10807.1
7242.2,10814
7321.8,8736.1
7401.4,8744
7480.9,9286.6
7560.5,9296.3
7640.1,9415
7719.7,9422.9
7799.3,7390.2
7878.9,7389.6
7958.4,7762.6
8038,7779.8
8117.6,7441.1
8197.2,7448.4
8276.8,8214
8356.4,8220.2
8436,10064.6
8515.5,10069.1
8595.1,9853.1
8674.7,9853.2
8754.3,8992.1
8833.9,8998.9
8913.5,10296.7
8993,10302.4
9072.6,8629.2
9152.2,8636.1
9231.8,8637.5
9311.4,8648.5
9391,9777.4
9470.6,9788.4
9550.1,7638.3
9629.7,7639.7
9709.3,8959.1
9788.9,8963.7
