time,dist
0,12.9
23.8,12.9
47.6,109.3
71.4,109.3
95.2,157.1
119,157.1
142.8,49.7
166.7,49.7
190.5,47.9
214.3,47.9
238.1,29.6
261.9,29.6
285.7,27.1
309.5,27.1
333.3,16.4
357.1,16.4
380.9,37.5
404.7,37.5
428.5,32.2
452.4,32.2
476.2,42
500,42
523.8,42.4
547.6,42.4
571.4,36.5
595.2,36.5
619,42.1
642.8,42.1
666.6,8.8
690.4,8.8
714.2,8.4
738.1,8.4
761.9,13.5
785.7,13.5
809.5,28.2
833.3,28.2
857.1,24
880.9,24
904.7,12
928.5,12
952.3,14.6
976.1,14.6
999.9,17.3
1023.8,17.3
1047.6,25.6
1071.4,25.6
1095.2,22.5
1119,22.5
1142.8,30
1166.6,30
1190.4,62.1
1214.2,62.1
1238,36.2
1261.8,36.2
1285.6,49.2
1309.5,49.2
1333.3,81.2
1357.1,81.2
1380.9,249.2
1404.7,249.2
1428.5,341.6
1452.3,341.6
1476.1,479.2
1499.9,479.2
1523.7,590
1547.5,590
1571.3,577.6
1595.2,577.6
1619,702.7
1642.8,702.7
1666.6,607.8
1690.4,607.8
1714.2,918.9
1738,918.9
1761.8,615.1
1785.6,615.1
1809.4,499.6
1833.2,499.6
1857,255.8
1880.9,255.8
1904.7,117
1928.5,117
1952.3,47.9
1976.1,47.9
1999.9,68.6
2023.7,68.6
2047.5,86.7
2071.3,86.7
2095.1,148.6
2118.9,148.6
2142.7,118.7
2166.5,118.7
2190.4,289.9
2214.2,289.9
2238,202
2261.8,202
2285.6,333.7
2309.4,333.7
2333.2,196.8
2357,196.8
2380.8,251.4
2404.6,251.4
2428.4,407.3
2452.2,407.3
2476.1,540.2
2499.9,540.2
2523.7,698.3
2547.5,698.3
2571.3,462.7
2595.1,462.7
2618.9,190.4
2642.7,190.4
2666.5,108.4
2690.3,108.4
2714.1,84.4
2737.9,84.4
2761.8,36.3
2785.6,36.3
2809.4,26.1
2833.2,26.1
2857,28.5
2880.8,28.5
2904.6,30.5
2928.4,30.5
2952.2,24.1
2976,24.1
2999.8,24.1
3023.6,24.1
3047.5,23.7
3071.3,23.7
3095.1,14.3
3118.9,14.3
3142.7,15.7
3166.5,15.7
3190.3,27.9
3214.1,27.9
3237.9,34.5
3261.7,34.5
3285.5,95.7
3309.3,95.7
3333.2,226.2
3357,226.2
3380.8,351.9
3404.6,351.9
3428.4,189.3
3452.2,189.3
3476,176.5
3499.8,176.5
3523.6,127.5
3547.4,127.5
3571.2,155
3595,155
3618.9,162.7
3642.7,162.7
3666.5,185.4
3690.3,185.4
3714.1,150
3737.9,150
3761.7,144.4
3785.5,144.4
3809.3,190
3833.1,190
3856.9,173.9
3880.7,173.9
3904.6,144.9
3928.4,144.9
3952.2,131.1
3976,131.1
3999.8,107.1
4023.6,107.1
4047.4,107.5
4071.2,107.5
4095,230.7
4118.8,230.7
4142.6,263.3
4166.4,263.3
4190.2,158.8
4214.1,158.8
4237.9,71.1
4261.7,71.1
4285.5,87.2
4309.3,87.2
4333.1,82.1
4356.9,82.1
4380.7,76
4404.5,76
4428.3,67.9
4452.1,67.9
4475.9,23.8
4499.8,23.8
4523.6,41
4547.4,41
4571.2,27.8
4595,27.8
4618.8,15.7
4642.6,15.7
4666.4,39.4
4690.2,39.4
4714,31
4737.8,31
4761.6,62.8
4785.5,62.8
4809.3,63.5
4833.1,63.5
4856.9,62.3
4880.7,62.3
4904.5,35.8
4928.3,35.8
4952.1,15.1
4975.9,15.1
4999.7,1.7
5023.5,1.7
5047.3,15
5071.2,15
5095,36.1
5118.8,36.1
5142.6,9.9
5166.4,9.9
5190.2,8.8
5214,8.8
5237.8,14.8
5261.6,14.8
5285.4,21.6
5309.2,21.6
5333,22.3
5356.9,22.3
5380.7,38.1
5404.5,38.1
5428.3,26.6
5452.1,26.6
5475.9,76
5499.7,76
5523.5,71.5
5547.3,71.5
5571.1,41.2
5594.9,41.2
5618.7,19.7
5642.6,19.7
5666.4,12.4
5690.2,12.4
5714,15.4
5737.8,15.4
5761.6,28.4
5785.4,28.4
5809.2,29.8
5833,29.8
5856.8,14.6
5880.6,14.6
5904.4,20.1
5928.3,20.1
5952.1,22.8
5975.9,22.8
5999.7,20
6023.5,20
6047.3,27
6071.1,27
6094.9,38.9
6118.7,38.9
6142.5,27.7
6166.3,27.7
6190.1,65.1
6213.9,65.1
6237.8,67.3
6261.6,67.3
6285.4,31.1
6309.2,31.1
6333,31
6356.8,31
6380.6,4.2
6404.4,4.2
6428.2,14.2
6452,14.2
6475.8,29.5
6499.6,29.5
6523.5,36.2
6547.3,36.2
6571.1,12.3
6594.9,12.3
6618.7,14.6
6642.5,14.6
6666.3,20.6
6690.1,20.6
6713.9,25.7
6737.7,25.7
6761.5,30.6
6785.3,30.6
6809.2,41.2
6833,41.2
6856.8,25.7
6880.6,25.7
6904.4,66.5
6928.2,66.5
6952,74.4
6975.8,74.4
6999.6,39.5
7023.4,39.5
7047.2,24.7
7071,24.7
7094.9,5.7
7118.7,5.7
7142.5,15.5
7166.3,15.5
7190.1,19
7213.9,19
7237.7,127.8
7261.5,127.8
7285.3,226.1
7309.1,226.1
7332.9,153.6
7356.7,153.6
7380.6,153.3
7404.4,153.3
7428.2,313.1
7452,313.1
7475.8,221.1
7499.6,221.1
7523.4,149.5
7547.2,149.5
7571,173.3
7594.8,173.3
7618.6,61.7
7642.4,61.7
7666.3,50.4
7690.1,50.4
7713.9,43.6
7737.7,43.6
7761.5,34.4
7785.3,34.4
7809.1,30.7
7832.9,30.7
7856.7,43.4
7880.5,43.4
7904.3,57.6
7928.1,57.6
7952,217.3
7975.8,217.3
7999.6,171.9
8023.4,171.9
8047.2,259.2
8071,259.2
8094.8,282
8118.6,282
8142.4,180.1
8166.2,180.1
8190,81.9
8213.8,81.9
8237.6,45.3
8261.5,45.3
8285.3,48
8309.1,48
8332.9,34.3
8356.7,34.3
8380.5,26.8
8404.3,26.8
8428.1,69.4
8451.9,69.4
8475.7,55.8
8499.5,55.8
8523.3,63.6
8547.2,63.6
8571,65.5
8594.8,65.5
8618.6,70.1
8642.4,70.1
8666.2,103.7
8690,103.7
8713.8,170.6
8737.6,170.6
8761.4,184.3
8785.2,184.3
8809,173.1
8832.9,173.1
8856.7,274
8880.5,274
8904.3,293.2
8928.1,293.2
8951.9,354.6
8975.7,354.6
8999.5,600.1
9023.3,600.1
9047.1,869.3
9070.9,869.3
9094.7,769.4
9118.6,769.4
9142.4,551
9166.2,551
9190,65.5
9213.8,65.5
9237.6,165.6
9261.4,165.6
9285.2,89.2
9309,89.2
9332.8,31.8
9356.6,31.8
9380.4,36.6
9404.3,36.6
9428.1,13.6
9451.9,13.6
9475.7,20
9499.5,20
9523.3,27.3
9547.1,27.3
9570.9,24.6
9594.7,24.6
9618.5,28.3
9642.3,28.3
9666.1,16.5
9690,16.5
9713.8,18.2
9737.6,18.2
9761.4,74.6
9785.2,74.6
9809,208
9832.8,208
9856.6,289.2
9880.4,289.2
9904.2,387.7
9928,387.7
9951.8,545.7
9975.7,545.7
9999.5,637.6
10023.3,637.6
10047.1,729.2
10070.9,729.2
10094.7,810.3
10118.5,810.3
10142.3,661.7
10166.1,661.7
10189.9,699.7
10213.7,699.7
10237.5,674.3
10261.3,674.3
10285.2,693.7
10309,693.7
10332.8,711.3
10356.6,711.3
10380.4,703
10404.2,703
10428,798.2
10451.8,798.2
10475.6,627.9
10499.4,627.9
10523.2,229.9
10547,229.9
10570.9,97.9
10594.7,97.9
10618.5,37.4
10642.3,37.4
10666.1,15
10689.9,15
10713.7,30.4
10737.5,30.4
10761.3,33.8
10785.1,33.8
10808.9,26.3
10832.7,26.3
10856.6,19.8
10880.4,19.8
10904.2,27.3
10928,27.3
10951.8,20.6
10975.6,20.6
10999.4,23
11023.2,23
11047,28.6
11070.8,28.6
11094.6,29.6
11118.4,29.6
11142.3,40.7
11166.1,40.7
11189.9,58.4
11213.7,58.4
11237.5,126.3
11261.3,126.3
11285.1,514.4
11308.9,514.4
11332.7,987.5
11356.5,987.5
11380.3,1173.9
11404.1,1173.9
11428,1024.3
11451.8,1024.3
11475.6,842.8
11499.4,842.8
11523.2,778.1
11547,778.1
11570.8,749.8
11594.6,749.8
11618.4,765.3
11642.2,765.3
11666,661
11689.8,661
