time,dist
0,65.1
0.1,65.1
0.2,210.8
0.3,210.8
0.4,450.3
0.5,450.3
0.6,588.6
0.7,588.6
0.8,734.3
0.9,734.3
1,582
1.1,582
1.2,540.3
1.2,540.3
1.3,649.8
1.4,649.8
1.5,820.2
1.6,820.2
1.7,1287.7
1.8,1287.7
1.9,679.6
2,679.6
2.1,197.7
2.2,197.7
2.3,227.1
2.4,227.1
2.5,131.5
2.6,131.5
2.7,257.1
2.8,257.1
2.9,169.7
3,169.7
3.1,170.4
3.2,170.4
3.3,352.3
3.4,352.3
3.5,480.2
3.6,480.2
3.7,392.4
3.7,392.4
3.8,750.4
3.9,750.4
4,412.3
4.1,412.3
4.2,665
4.3,665
4.4,406.3
4.5,406.3
4.6,459.9
4.7,459.9
4.8,541.8
4.9,541.8
5,401.5
5.1,401.5
5.2,441.6
5.3,441.6
5.4,410.4
5.5,410.4
5.6,382.6
5.7,382.6
5.8,393.8
5.9,393.8
6,184.7
6.1,184.7
6.2,65.5
6.2,65.5
6.3,27.3
6.4,27.3
6.5,16.4
6.6,16.4
6.7,19.7
6.8,19.7
6.9,4
7,4
7.1,8.7
7.2,8.7
7.3,1
7.4,1
7.5,2.2
7.6,2.2
7.7,4.9
7.8,4.9
7.9,18.3
8,18.3
8.1,14.4
8.2,14.4
8.3,33.9
8.4,33.9
8.5,3.2
8.6,3.2
8.6,2.7
8.7,2.7
8.8,4.5
8.9,4.5
9,8.6
9.1,8.6
9.2,4.1
9.3,4.1
9.4,6.1
9.5,6.1
9.6,11.7
9.7,11.7
9.8,3.5
9.9,3.5
10,5.6
10.1,5.6
10.2,0.9
10.3,0.9
10.4,9.4
10.5,9.4
10.6,4.4
10.7,4.4
10.8,25.2
10.9,25.2
11,41
11.1,41
11.1,18.3
11.2,18.3
11.3,1.2
11.4,1.2
11.5,10.5
11.6,10.5
11.7,6.4
11.8,6.4
11.9,2.5
12,2.5
12.1,6.8
12.2,6.8
12.3,7.3
12.4,7.3
12.5,20.2
12.6,20.2
12.7,4.2
12.8,4.2
12.9,2.8
13,2.8
13.1,1.3
13.2,1.3
13.3,3.6
13.4,3.6
13.5,20.5
13.6,20.5
13.6,23.8
13.7,23.8
13.8,33.8
13.9,33.8
14,33.7
14.1,33.7
14.2,22.1
14.3,22.1
14.4,1.7
14.5,1.7
14.6,17.4
14.7,17.4
14.8,4.9
14.9,4.9
15,4.4
15.1,4.4
15.2,5
15.3,5
15.4,6.9
15.5,6.9
15.6,8
15.7,8
15.8,5
15.9,5
16,3.4
16,3.4
16.1,6
16.2,6
16.3,0.7
16.4,0.7
16.5,4.9
16.6,4.9
16.7,45.3
16.8,45.3
16.9,24
17,24
17.1,19.6
17.2,19.6
17.3,4.3
17.4,4.3
17.5,16.8
17.6,16.8
17.7,2.7
17.8,2.7
17.9,10.1
18,10.1
18.1,25.6
18.2,25.6
18.3,7
18.4,7
18.5,7.8
18.5,7.8
18.6,1.3
18.7,1.3
18.8,2.2
18.9,2.2
19,0.6
19.1,0.6
19.2,1.5
19.3,1.5
19.4,9.2
19.5,9.2
19.6,19.9
19.7,19.9
19.8,45.4
19.9,45.4
20,20.7
20.1,20.7
20.2,6.5
20.3,6.5
20.4,18.8
20.5,18.8
20.6,15.4
20.7,15.4
20.8,5.1
20.9,5.1
20.9,11
21,11
21.1,7.9
21.2,7.9
21.3,4.6
21.4,4.6
21.5,4.3
21.6,4.3
21.7,8.9
21.8,8.9
21.9,3
22,3
22.1,18.9
22.2,18.9
22.3,2
22.4,2
22.5,27.5
22.6,27.5
22.7,45.8
22.8,45.8
22.9,22.4
23,22.4
23.1,10.2
23.2,10.2
23.3,15.7
23.4,15.7
23.4,15.5
23.5,15.5
23.6,7.4
23.7,7.4
23.8,8.7
23.9,8.7
24,6
24.1,6
24.2,2.4
24.3,2.4
24.4,6
24.5,6
24.6,8.6
24.7,8.6
24.8,0.8
24.9,0.8
25,1
25.1,1
25.2,3.9
25.3,3.9
25.4,18.8
25.5,18.8
25.6,25.3
25.7,25.3
25.8,45.7
25.9,45.7
25.9,22.2
26,22.2
26.1,10.2
26.2,10.2
26.3,15.4
26.4,15.4
26.5,1
26.6,1
26.7,10.4
26.8,10.4
26.9,3.5
27,3.5
27.1,7.8
27.2,7.8
27.3,6
27.4,6
27.5,5.9
27.6,5.9
27.7,5.3
27.8,5.3
27.9,18.3
28,18.3
28.1,4.2
28.2,4.2
28.3,6.2
28.3,6.2
28.4,29.5
28.5,29.5
28.6,21.5
28.7,21.5
28.8,25.4
28.9,25.4
29,3.4
29.1,3.4
29.2,14.1
29.3,14.1
29.4,9
29.5,9
